village	housenum	x	y	humans	dogs	chicken
CL	1.	2.07923923274177	0.6268749225037737	10.	1.	0.
CL	2.	2.079252624069909	0.6512143250763671	3.	2.	7.
CL	3.	2.1015515900951414	0.6965618739773305	3.	2.	7.
CL	5.	2.112692251344697	0.7031937706079248	5.	1.	1.
CL	6.	2.1461330907088723	0.7573859114105517	11.	2.	0.
CL	7.	2.157273754537073	0.7640178136563378	9.	0.	7.
CL	8.	2.1349997228699067	0.7640300526657171	5.	2.	11.
CL	11.	2.0793711437378306	0.866949937937548	4.	1.	12.
CL	12.	1.990301150232085	0.9145712511876951	6.	0.	10.
CL	14.	1.8678268403609763	0.9743804705016856	2.	1.	10.
CL	15.	1.845524974192358	0.9235012681087653	3.	0.	0.
CL	16.	1.8342435109075268	0.6601997263385613	6.	2.	12.
CL	17.	2.0347094655986666	0.660089518495866	2.	1.	10.
CL	18.	1.9901815227659654	0.6966230977819947	5.	0.	17.
CL	19.	1.9344515102005744	0.6147848814514845	5.	2.	0.
CL	20.	1.878736715102832	0.5606050950631385	7.	0.	4.
CL	21.	2.090379284830078	0.6324004767958371	8.	0.	25.
CL	22.	2.079253232670794	0.652320661556459	9.	0.	15.
CL	23.	2.1015479400666663	0.6899238540998311	19.	4.	11.
CL	24.	1.8431646538658697	0.6812151892858793	11.	2.	0.
CL	25.	1.7450959259385854	0.5662102944008893	5.	2.	11.
CL	26.	1.7228097947730703	0.5440958689262203	2.	0	0
CL	27.	2.1349960754452013	0.7573920312940174	6.	0.	3.
CL	28.	2.146137954072401	0.7662366072431723	7.	1.	7.
CL	29.	0.5946314852634487	0.5325456484277424	6.	0.	15.
CL	30.	2.1350361806242972	0.8304102663031045	15.	4.	11.
CL	31.	1.7763639875018953	0.7199735959584501	8.	3.	2.
CL	32.	2.068234131093618	0.8669560480320797	10.	1.	23.
CL	33.	1.990301150232085	0.9145712511876951	9.	1.	24.
CL	34.	1.681689306039857	0.7012178918133003	7.	3.	10.
CL	35.	1.8678232059772881	0.9677424612420964	5.	2.	11.
CL	36.	1.7229301386678344	0.7631499612518127	4.	0.	3.
CL	37.	1.8343734312595643	0.8969553376590653	9.	0.	15.
CL	38.	1.673904351376109	0.7211361732178574	12.	4.	11.
CL	39.	1.9901827388813444	0.6988357693979736	14.	4.	11.
CL	40.	1.923319382155114	0.6236416898851047	9.	0.	31.
CL	41.	1.8453300069496663	0.5683678238649179	6.	1.	0.
CL	42.	1.85651384396715	0.6535494761782701	10.	2.	0.
CL	43.	1.8565320830452947	0.6867395202913826	5.	3.	31.
CL	44.	1.48230533449032	0.6426916954577138	11.	2.	20.
CL	45.	1.4199401771682005	0.6460449239356194	1.	0.	0.
CL	46.	1.3887475897602144	0.6294670679019134	5.	2.	4.
CL	47.	1.6227506809013903	0.8605622500721637	3.	0.	5.
CL	48.	1.6561731340364076	0.8815642798205658	2.	0.	6.
CL	49.	1.5558870009766679	0.7842619037376721	1.	0.	3.
CL	50.	1.5336015364337072	0.7632537978164748	9.	0.	15.
CL	51.	1.5002027598414998	0.7853987568959724	3.	0.	11.
CL	52.	1.5336263981795355	0.8086134250790025	3.	0.	5.
CL	53.	1.511358520183535	0.8196889516041921	1.	0.	5.
CL	54.	1.4890906437366311	0.8307644737863029	1.	0.	5.
CL	55.	1.477945798862038	0.8163882581024637	2.	2.	7.
CL	56.	1.4779579178427866	0.8385148971531748	1.	0.	0.
CL	57.	1.4445349033986759	0.816406558977107	4.	1.	15.
CL	58.	1.4556876204557057	0.8451650853479009	1.	0.	0.
CL	59.	1.4334233818060511	0.8628785867105506	1.	0.	3.
CL	60.	1.407824107550823	0.8916572242404328	1.	1.	3.
CL	61.	1.4000451787950396	0.9226387677694561	4.	0.	0.
CL	62.	1.4000482040011093	0.9281704245875773	4.	0.	3.
CL	63.	1.4223529794644492	0.9845811511457327	8.	3.	0
CL	64.	1.4334863176659383	0.9779370746345819	4.	0.	3.
CL	65.	1.422363257246161	1.003388787128003	1.	0.	0.
CL	66.	1.522571187928861	0.9579743859308394	1.	0.	0.
CL	67.	1.5002827209127645	0.9314345965626387	5.	1.	0.
CL	68.	1.4669298681768623	1.0376607317005266	3.	0.	0.
CL	69.	1.4446704295773998	1.0642248592293555	2.	0	0
CL	70.	1.4669328898012282	1.0431923910064	4.	3.	9.
CL	71.	1.4669479948071285	1.0708506875208599	2.	0.	9.
CL	72.	1.4780801332346982	1.0619939506654674	3.	0.	0.
CL	73.	1.397806288650827	0.9016196903439777	1.	1.	3.
CL	74.	1.3666258232613018	0.9071684037660788	8.	0.	25.
CL	75.	1.366595557661185	0.8518518480421875	4.	1.	10.
CL	76.	1.232873363535873	0.7081020612678088	5.	1.	1.
CL	77.	1.1772122813158603	0.75127943337651	3.	2.	7.
CL	78.	1.177196526259877	0.7225148612036207	5.	2.	4.
CL	79.	1.3331071200003635	0.7102597824310948	1.	0.	3.
CL	80.	1.288641709265562	0.8607451547408402	8.	0.	6.
CL	81.	1.2775271453768937	0.9016854742079374	4.	1.	21.
CL	82.	1.2931225103848192	0.9083149316735302	5.	4.	0
CL	83.	1.3332228116782971	0.9215689778379357	2.	2.	0.
CL	84.	1.2775374283054362	0.9204930917668293	7.	3.	10.
CL	85.	1.2552592893048313	0.9127609560060819	3.	2.	5.
CL	86.	1.2775543596626449	0.9514703441915202	2.	0.	7.
