block	x	y	humans	dogs	chicken	dist
1	0.253	8.027	4	2	10	101.2126495701975
1	0.255	8.021	2	1	0	101.3584425813249
1	0.26	8.009	5	2	0	100.70938727828008
1	0.263	8.003	5	0	0	99.91365045768764
1	0.271	7.98	2	1	0	100.15895321596912
1	0.272	7.975	7	0	0	100.90789241657856
1	0.276	7.963	1	1	0	101.19988307797746
1	0.277	7.959	1	1	0	101.61055499361429
1	0.28	7.955	4	0	0	100.13910586787033
1	0.283	7.944	2	0	0	101.03388691966286
1	0.231	7.918	4	0	0	102.32076815130279
1	0.199	7.906	5	0	0	101.84423094011726
1	0.193	7.904	2	1	0	101.98949424478083
1	0.168	7.894	2	0	7	101.02888422417637
1	0.141	7.883	4	0	0	99.80257968190617
1	0.086	7.865	5	1	8	101.4532880133167
1	0.029	7.858	2	1	0	100.58909625884951
1	0.022	7.878	4	0	0	100.76121109921438
1	0.011	7.906	2	1	0	99.87328969202065
1	0.006	7.923	4	0	0	100.91386772396102
1	0.	7.937	2	0	0	99.99915298804233
1	0.093	7.973	1	0	0	99.96797124635364
1	0.098	7.963	4	0	0	111.06947841097752
1	0.1	7.957	5	1	0	117.39231985577044
1	0.102	7.951	4	3	0	123.7153365098783
1	0.111	7.924	4	0	3	148.52969213041743
1	0.115	7.914	5	1	8	137.766424724713
1	0.119	7.906	6	1	0	128.88767678478058
1	0.126	7.89	2	0	0	111.46077234215153
1	0.128	7.891	5	0	0	111.72707648945823
1	0.128	7.893	3	1	0	113.6080709298188
1	0.124	7.906	5	2	0	127.19498222960203
1	0.12	7.92	3	1	0	141.72313918929888
1	0.107	7.952	4	0	0	124.46467541428251
1	0.233	7.981	5	0	0	135.5842188552598
1	0.205	7.973	2	0	0	137.82593680248868
1	0.203	7.971	3	0	0	139.03244323369273
1	0.191	7.966	3	0	0	139.68179437784218
1	0.177	7.961	4	0	2	139.65534410056722
1	0.165	7.958	5	0	0	138.42232251961346
1	0.155	7.954	4	2	0	138.80687985337866
1	0.138	7.947	5	0	0	139.64843047513392
1	0.109	7.94	3	1	0	136.43433942019402
1	0.098	7.935	3	0	0	137.42169370670194
1	0.079	7.928	6	1	0	137.58703107833443
1	0.069	7.925	3	4	0	137.0302410583416
1	0.063	7.921	4	0	2	138.76704654200486
1	0.043	7.912	4	3	0	132.01822974368645
1	0.033	7.909	2	0	0	121.59227208745422
1	0.025	7.907	3	0	10	113.38714582056959
1	0.019	7.902	3	1	0	106.0512887724542
1	0.029	7.905	7	0	0	116.47565167336482
1	0.045	7.909	5	0	0	132.88611536496694
1	0.065	7.919	2	0	0	141.32615833165355
1	0.072	7.92	3	4	0	142.75157754046785
1	0.139	7.946	2	0	0	140.92833829078185
1	0.147	7.948	4	0	3	141.74939168243728
1	0.16	7.951	4	0	0	143.32033211009949
1	0.188	7.96	3	0	10	144.31470199300378
1	0.208	7.968	6	2	0	143.5456685595732
1	0.21	7.97	5	1	0	142.3394188117768
2	0.683	7.956	3	0	0	101.38884712346716
2	0.665	7.95	5	0	0	102.24708204041579
2	0.657	7.947	2	0	0	102.32011862510157
2	0.634	7.938	1	1	10	102.16923100282305
2	0.619	7.931	3	0	0	101.01757524633973
2	0.609	7.928	2	0	0	101.80554282508774
2	0.596	7.921	3	1	0	99.93652025421913
2	0.579	7.917	15	2	0	102.30227479986591
2	0.572	7.914	3	0	0	102.01395874102347
2	0.552	7.905	3	0	0	100.78931721990628
2	0.519	7.906	4	5	0	100.51521272340403
2	0.515	7.915	4	0	0	100.01080059999008
2	0.511	7.926	4	0	1	100.22419756959196
2	0.504	7.946	3	0	0	100.86644752042032
2	0.5	7.959	3	1	0	101.7974437778669
2	0.495	7.967	4	0	0	100.00073443009018
2	0.49	7.981	1	1	10	100.35711168643418
2	0.488	7.99	2	0	5	101.71994381234683
2	0.485	7.993	3	1	0	99.99590183781677
2	0.474	8.023	2	0	0	100.49270125157838
2	0.472	8.03	2	0	5	101.1374530147491
2	0.468	8.037	5	2	0	99.91619951285938
2	0.465	8.045	4	0	1	99.98579470321641
2	0.468	8.064	2	3	0	102.29061675229862
2	0.473	8.066	4	0	0	102.21985152276613
2	0.481	8.067	4	0	0	104.15496999829632
2	0.492	8.073	7	0	0	102.50262128976533
2	0.505	8.077	5	0	0	103.43232552373344
2	0.519	8.084	5	2	0	101.92195807304486
2	0.528	8.086	4	0	0	103.28452985328899
2	0.534	8.088	4	1	0	103.57076744120009
2	0.542	8.095	3	1	0	99.90823537722699
2	0.553	8.098	5	1	12	101.05367869946397
2	0.562	8.099	4	1	20	103.35005800391214
2	0.568	8.1	5	1	0	104.56910800189209
2	0.574	8.102	4	0	0	104.85546102645048
2	0.579	8.105	4	0	0	103.84891724928113
2	0.592	8.111	5	1	6	102.91452211604926
2	0.613	8.116	4	0	0	105.78105470952026
2	0.623	8.12	3	0	0	105.63548043259054
2	0.637	8.125	4	1	0	105.99190153595985
2	0.652	8.119	5	0	0	101.22180650444407
2	0.656	8.112	3	1	0	100.0006432451096
2	0.656	8.104	4	0	0	102.87175272616328
2	0.659	8.094	2	0	5	103.65852359039015
2	0.665	8.082	3	1	3	102.3635173902318
2	0.674	8.061	3	0	0	101.4979609431585
2	0.679	8.049	5	0	0	101.13671544395035
2	0.681	8.04	2	3	0	102.49904823779603
2	0.684	8.033	3	0	0	102.21102097743668
2	0.691	8.008	4	1	0	104.6469496910184
2	0.692	8.003	3	0	0	105.50792591950281
2	0.702	7.984	5	1	12	102.99096574455604
2	0.703	7.976	4	1	0	104.92843623259293
2	0.657	8.071	5	2	30	113.78164172140758
2	0.641	8.063	3	0	0	131.58293550871647
2	0.637	8.061	5	2	0	136.03404378643748
2	0.609	8.05	2	0	0	165.95091943479912
2	0.587	8.042	2	0	0	165.52440426485214
2	0.576	8.039	4	0	6	164.37785105292656
2	0.569	8.036	2	1	0	164.66613467572367
2	0.564	8.035	7	1	0	163.80564578107627
2	0.555	8.032	6	1	0	163.37642934756974
2	0.548	8.028	4	0	0	164.59840789873664
2	0.545	8.028	1	0	0	163.5222518042187
2	0.536	8.024	2	3	0	158.7242804621789
2	0.485	8.012	3	0	0	106.8136718668573
2	0.495	8.016	1	0	0	117.58346984234488
2	0.5	8.017	2	0	0	122.60838932477827
2	0.512	8.022	6	1	0	135.60335113680566
2	0.519	8.025	4	5	0	143.21389804235432
2	0.528	8.027	4	1	20	152.33196819808262
2	0.534	8.029	4	1	0	158.64163981018504
2	0.541	8.031	15	2	0	159.28648745594705
2	0.551	8.037	4	0	0	157.274085000007
2	0.561	8.04	2	1	0	158.06194732519248
2	0.566	8.043	5	1	0	157.05596957156254
2	0.572	8.042	2	3	0	160.14205744621478
2	0.58	8.046	3	1	0	159.27913192412237
2	0.587	8.049	2	0	0	158.99043319664204
2	0.59	8.05	4	2	0	159.1335536184237
2	0.599	8.054	5	1	12	158.6290631251934
2	0.608	8.057	4	2	0	159.05814129627973
2	0.618	8.061	1	0	0	153.76882851474872
2	0.624	8.061	3	2	0	148.16859237249938
2	0.628	8.062	2	1	0	144.07793302164603
2	0.672	8.014	4	2	0	120.22896885085237
2	0.659	8.008	7	1	0	134.51622096459016
2	0.643	8.003	3	0	0	151.2446596777606
2	0.62	7.993	3	1	0	158.53085161062313
2	0.612	7.99	3	0	0	158.60041852916476
2	0.604	7.989	15	2	0	160.5374871828561
2	0.595	7.985	1	0	0	160.03334510919308
2	0.587	7.983	6	0	0	161.03742571268992
2	0.582	7.982	3	0	0	161.89760225932739
2	0.58	7.978	3	0	0	158.88150728229033
2	0.571	7.975	3	1	3	159.31058698405297
2	0.566	7.973	4	1	0	159.23824460104152
2	0.56	7.968	15	2	0	156.72367022382673
2	0.552	7.966	4	1	0	152.84674846107475
2	0.546	7.966	1	0	0	147.245887701841
2	0.54	7.965	3	0	0	141.28689733019516
2	0.531	7.96	3	0	0	131.09183726505972
